eventstart,eventend,name,type,subtype,subsubtype,description,source,scheduled,eventstart_CET,eventend_CET
"26.03.2002 02:45:00","NaT","FR Housing Permits & FR Housing Starts","Macro Release","FR","Housing Permits & FR Housing Starts","","Bloomberg",1,"26.03.2002 08:45:00","NaT"
"26.03.2002 03:00:00","NaT","ECB: Speech by GC member","Central Bank","ECB","Speech by GC member","ECB's Haemaelaeinen Speaks at Panel in Frankfurt","Bloomberg",0,"26.03.2002 09:00:00","NaT"
"26.03.2002 04:00:00","NaT","DE IFO Survey","Macro Release","DE","IFO Survey","","Bloomberg",1,"26.03.2002 10:00:00","NaT"
"26.03.2002 05:15:00","NaT","ECB: MRO","Central Bank","ECB","MRO","","ECB website",1,"26.03.2002 11:15:00","NaT"
"26.03.2002 08:30:00","NaT","US Durable Goods","Macro Release","US","Durable Goods","","Bloomberg",1,"26.03.2002 14:30:00","NaT"
"26.03.2002 10:00:00","NaT","US Conference Board Indices","Macro Release","US","Conference Board Indices","","Bloomberg",1,"26.03.2002 16:00:00","NaT"
"26.03.2002 13:05:00","NaT","US Auction Result Bill","Auction","US Result","Bill","CUSIP 912795JR3","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2002/ofb32502.pdf",1,"26.03.2002 19:05:00","NaT"
"26.03.2002 17:00:00","NaT","Fed: Speech by FOMC member","Central Bank","Fed","Speech by FOMC member","Corporate governance","https://www.federalreserve.gov/boarddocs/speeches/2002/200203262/default.htm",0,"26.03.2002 23:00:00","NaT"
"27.03.2002 01:00:00","NaT","FI GDP","Macro Release","FI","GDP","","Bloomberg",1,"27.03.2002 07:00:00","NaT"
"27.03.2002 02:00:00","NaT","DE Import Price Index","Macro Release","DE","Import Price Index","","Bloomberg",1,"27.03.2002 08:00:00","NaT"
"27.03.2002 02:45:00","NaT","FR Manufacturing and Business Confidence","Macro Release","FR","Manufacturing and Business Confidence","","Bloomberg",1,"27.03.2002 08:45:00","NaT"
"27.03.2002 06:00:00","NaT","PT PPI","Macro Release","PT","PPI","","Bloomberg",1,"27.03.2002 12:00:00","NaT"
"27.03.2002 10:00:00","NaT","US New Home Sales","Macro Release","US","New Home Sales","","Bloomberg",1,"27.03.2002 16:00:00","NaT"
"27.03.2002 13:05:00","NaT","US Auction Result Note","Auction","US Result","Note","CUSIP 912828AA8","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2002/ofd32002.pdf",1,"27.03.2002 19:05:00","NaT"
"27.03.2002 18:45:00","NaT","JP Retail Sales","Macro Release","JP","Retail Sales","","Bloomberg",1,"28.03.2002 00:45:00","NaT"
"27.03.2002 21:15:00","NaT","CN GDP and Other Macro Aggregates","Macro Release","CN","GDP and Other Macro Aggregates","","Bloomberg",1,"28.03.2002 03:15:00","NaT"
"28.03.2002 01:00:00","NaT","FI Industrial Production","Macro Release","FI","Industrial Production","","Bloomberg",1,"28.03.2002 07:00:00","NaT"
"28.03.2002 03:00:00","NaT","CN Monetetary Aggregates","Macro Release","CN","Monetetary Aggregates","","Bloomberg",1,"28.03.2002 09:00:00","NaT"
"28.03.2002 06:00:00","NaT","DE Industrial Production","Macro Release","DE","Industrial Production","","Bloomberg",1,"28.03.2002 12:00:00","NaT"
"28.03.2002 08:30:00","NaT","US Jobless Claims","Macro Release","US","Jobless Claims","","Bloomberg",1,"28.03.2002 14:30:00","NaT"
