,open,high,low,close,volume
2020-03-17 15:30:00,230.9957,232.8457,229.8058,231.4884,4930858.0
2020-03-17 15:45:00,231.507,233.8962,231.2653,233.3663,7470501.0
2020-03-17 16:00:00,233.3802,238.0145,232.8178,237.8936,8490086.0
2020-03-17 16:15:00,237.9029,238.1446,232.7248,232.8829,7297164.0
2020-03-17 16:30:00,232.9387,233.9799,230.8888,231.2882,6028594.0
2020-03-17 16:45:00,231.349,231.8882,229.9081,231.5721,4182852.0
2020-03-17 17:00:00,231.5907,232.7667,228.3835,228.6345,4364713.0
2020-03-17 17:15:00,228.6252,230.094,227.8071,229.4897,4272964.0
2020-03-17 17:30:00,229.5548,232.4088,228.7739,231.7579,3743918.0
2020-03-17 17:45:00,231.7487,232.9665,231.3583,232.0556,3636065.0
2020-03-17 18:00:00,231.9997,235.8484,230.7447,233.9892,4900369.0
2020-03-17 18:15:00,234.0356,235.6718,232.7899,234.9002,5362011.0
2020-03-17 18:30:00,234.9002,236.9082,234.4726,234.6306,5410637.0
2020-03-17 18:45:00,234.612,234.7979,231.3769,233.3454,5718276.0
2020-03-17 19:00:00,233.3663,233.3982,229.6199,232.1671,7233786.0
2020-03-17 19:15:00,232.1392,232.8178,230.0475,230.596,5153113.0
2020-03-17 19:30:00,230.5867,235.5509,230.1684,235.0488,8031132.0
2020-03-17 19:45:00,235.0118,236.5456,231.9254,236.3039,20112092.0
2020-03-17 20:00:00,236.5364,236.8245,232.3251,232.3251,6905626.0
2020-03-17 20:15:00,232.5296,235.0118,231.944,232.4181,431620.0
2020-03-17 20:30:00,232.4088,235.0118,231.9997,233.1339,633963.0
2020-03-17 20:45:00,233.1246,235.5464,231.507,231.507,6717270.0
2020-03-17 21:00:00,231.9068,235.0118,231.4234,231.4698,1608963.0
2020-03-17 21:15:00,231.3955,231.6651,231.3211,231.6651,53798.0
2020-03-17 21:30:00,231.6651,231.6651,231.4605,231.4884,58482.0
2020-03-17 21:45:00,231.4977,231.4977,230.1776,231.1259,200799.0
2020-03-17 22:00:00,231.0236,232.6319,230.8842,231.6372,393753.0
2020-03-17 22:15:00,231.7115,232.0276,230.3264,231.6651,116492.0
2020-03-17 22:30:00,235.0118,235.0118,229.7872,229.843,124030.0
2020-03-17 22:45:00,229.7965,230.2427,228.5322,229.499,136061.0
2020-03-17 23:00:00,229.4339,229.4339,227.2958,228.3556,133228.0
2020-03-17 23:15:00,228.2812,229.9917,227.5468,228.0395,117619.0
2020-03-17 23:30:00,227.9372,228.6809,226.7008,226.9611,153648.0
2020-03-17 23:45:00,227.0355,227.3887,224.7114,225.7061,229154.0
2020-03-18 08:00:00,223.5772,223.6795,221.718,222.1735,87439.0
2020-03-18 08:15:00,221.9969,223.0102,221.8202,222.4617,32549.0
2020-03-18 08:30:00,221.7645,223.0659,221.718,223.0659,43377.0
2020-03-18 08:45:00,223.0938,223.1124,222.4431,222.5918,13033.0
2020-03-18 09:00:00,222.6848,222.8986,222.4431,222.722,7975.0
2020-03-18 09:15:00,222.7406,222.8335,222.2107,222.4617,17635.0
2020-03-18 09:30:00,222.4617,222.8056,221.9039,222.1456,29114.0
2020-03-18 09:45:00,222.1177,222.1549,221.281,221.9504,83090.0
2020-03-18 10:00:00,221.9504,222.3129,221.4391,221.532,58780.0
2020-03-18 10:15:00,221.3833,221.532,219.8587,219.961,48992.0
2020-03-18 10:30:00,219.961,220.5094,218.9941,219.3474,49172.0
2020-03-18 10:45:00,219.3474,219.4497,218.4642,219.4032,166761.0
2020-03-18 11:00:00,219.5798,220.463,219.3009,219.8587,341066.0
2020-03-18 11:15:00,219.7657,220.5466,219.208,220.3235,283554.0
2020-03-18 11:30:00,220.277,221.5692,220.2306,220.6489,193532.0
2020-03-18 11:45:00,220.6024,222.6476,220.5745,222.3408,365698.0
2020-03-18 12:00:00,222.3315,226.3661,218.9291,220.8441,537161.0
2020-03-18 12:15:00,220.8906,221.7923,220.463,221.2067,462203.0
2020-03-18 12:30:00,221.2067,221.2532,220.0446,220.1004,469076.0
2020-03-18 12:45:00,220.1004,220.5001,219.4404,220.3235,656971.0
2020-03-18 13:00:00,220.3328,220.9278,219.8494,220.1376,763744.0
2020-03-18 13:15:00,220.119,220.9743,219.5798,219.5891,1453196.0
2020-03-18 13:30:00,219.6263,226.2081,219.5984,223.6423,15170096.0
2020-03-18 13:45:00,223.6516,227.1842,222.127,225.5109,9537420.0
2020-03-18 14:00:00,225.5388,230.8935,223.1124,226.8598,8299645.0
2020-03-18 14:15:00,226.8589,228.151,224.7951,226.9239,4931035.0
2020-03-18 14:30:00,226.896,229.0807,225.5109,227.0633,5511843.0
2020-03-18 14:45:00,227.0541,227.3423,223.2519,223.3541,5141758.0
2020-03-18 15:00:00,223.3448,224.228,221.2253,221.2532,6546676.0
2020-03-18 15:15:00,221.2532,223.1589,220.7883,221.6064,7568413.0
2020-03-18 15:30:00,221.5878,222.9172,220.8636,221.03,5445237.0
2020-03-18 15:45:00,221.0207,224.4976,220.3979,224.0978,8629184.0
2020-03-18 16:00:00,224.1257,224.2838,221.7737,221.8109,5859895.0
2020-03-18 16:15:00,221.8481,222.5453,220.4723,222.1828,6314486.0
2020-03-18 16:30:00,222.2293,222.5732,220.1097,221.5785,6538297.0
2020-03-18 16:45:00,221.6343,221.783,219.0871,219.1429,5274108.0
2020-03-18 17:00:00,218.4642,220.212,217.5346,218.4364,4045239.0
2020-03-18 17:15:00,218.4178,219.0127,216.3912,216.5771,8858271.0
2020-03-18 17:30:00,216.5678,218.4457,213.8161,217.3301,12503247.0
2020-03-18 17:45:00,217.2929,217.5253,214.9967,215.5638,5853502.0
2020-03-18 18:00:00,215.5917,216.1216,213.8161,213.9369,6446766.0
2020-03-18 18:15:00,213.9137,214.9688,211.9754,213.3977,10579339.0
2020-03-18 18:30:00,213.4359,216.4562,212.6633,215.4894,8875481.0
2020-03-18 18:45:00,215.4894,218.6316,214.4389,218.5479,8699072.0
2020-03-18 19:00:00,218.5572,220.119,216.1866,219.2173,11401929.0
2020-03-18 19:15:00,219.208,219.617,215.4801,215.5359,9049594.0
2020-03-18 19:30:00,215.5173,218.1947,214.7457,217.4231,11859796.0
2020-03-18 19:45:00,217.4138,224.8508,216.4098,224.0514,31199046.0
2020-03-18 20:00:00,224.0235,225.8548,220.779,224.7114,8821593.0
2020-03-18 20:15:00,224.5812,224.8973,217.4599,224.0421,3563826.0
2020-03-18 20:30:00,224.0421,224.3488,223.0288,223.3448,721096.0
2020-03-18 20:45:00,223.3448,225.2041,223.2983,225.1111,707164.0
2020-03-18 21:00:00,225.1204,225.1391,223.1124,224.7858,409573.0
2020-03-18 21:15:00,224.8044,224.8694,223.8282,224.2559,220458.0
2020-03-18 21:30:00,224.2373,224.5069,224.1164,224.2001,77279.0
2020-03-18 21:45:00,224.1536,224.5998,223.8933,224.5162,179487.0
2020-03-18 22:00:00,224.5998,225.2506,221.281,222.1828,432562.0
2020-03-18 22:15:00,222.1735,224.0699,221.718,222.4245,317762.0
